problem_id,attempt,answer,is_correct,token_index,token_confidence
8,4,1,1,0,24.7
8,4,1,1,1,31.45625
8,4,1,1,2,20.240625
8,4,1,1,3,9.037563
8,4,1,1,4,9.132511
8,4,1,1,5,7.623469
8,4,1,1,6,5.167966
8,4,1,1,7,7.331094
8,4,1,1,8,10.079703
8,4,1,1,9,11.961579
8,4,1,1,10,10.817756
8,4,1,1,11,6.419479
8,4,1,1,12,16.028127
8,4,1,1,13,4.79032
8,4,1,1,14,9.118062
8,4,1,1,15,4.802694
8,4,1,1,16,12.002384
8,4,1,1,17,12.206762
8,4,1,1,18,18.375002
8,4,1,1,19,19.95
8,4,1,1,20,7.173523
8,4,1,1,21,10.556401
8,4,1,1,22,11.302092
8,4,1,1,23,11.019051
8,4,1,1,24,7.090429
8,4,1,1,25,7.721508
8,4,1,1,26,6.176511
8,4,1,1,27,5.131998
8,4,1,1,28,7.064068
8,4,1,1,29,4.484679
8,4,1,1,30,7.574865
8,4,1,1,31,5.296897
8,4,1,1,32,7.08095
8,4,1,1,33,9.14596
8,4,1,1,34,14.306402
8,4,1,1,35,14.775502
8,4,1,1,36,12.430545
8,4,1,1,37,7.288675
8,4,1,1,38,4.790817
8,4,1,1,39,7.036937
8,4,1,1,40,6.272024
8,4,1,1,41,5.342286
8,4,1,1,42,8.290521
8,4,1,1,43,5.227406
8,4,1,1,44,8.032234
8,4,1,1,45,11.013993
8,4,1,1,46,4.780137
8,4,1,1,47,9.08903
8,4,1,1,48,4.735432
8,4,1,1,49,7.277148
8,4,1,1,50,6.63273
8,4,1,1,51,7.31711
8,4,1,1,52,7.237037
8,4,1,1,53,15.062513
8,4,1,1,54,13.700021
8,4,1,1,55,6.472866
8,4,1,1,56,9.879477
8,4,1,1,57,6.775371
8,4,1,1,58,14.72501
8,4,1,1,59,5.25842
8,4,1,1,60,10.508134
8,4,1,1,61,16.351987
8,4,1,1,62,12.965743
8,4,1,1,63,17.640625
8,4,1,1,64,21.2
8,4,1,1,65,16.534611
8,4,1,1,66,20.66875
8,4,1,1,67,22.54375
8,4,1,1,68,14.556353
8,4,1,1,69,5.902122
8,4,1,1,70,8.386465
8,4,1,1,71,11.132728
8,4,1,1,72,11.377839
8,4,1,1,73,11.411731
8,4,1,1,74,11.628622
8,4,1,1,75,15.778462
8,4,1,1,76,7.195947
8,4,1,1,77,4.377984
8,4,1,1,78,8.830999
8,4,1,1,79,9.447969
8,4,1,1,80,5.083282
8,4,1,1,81,7.265426
8,4,1,1,82,5.941322
8,4,1,1,83,6.82818
8,4,1,1,84,7.293867
8,4,1,1,85,9.41478
8,4,1,1,86,6.831004
8,4,1,1,87,14.934528
8,4,1,1,88,17.275002
8,4,1,1,89,8.173953
8,4,1,1,90,5.399969
8,4,1,1,91,7.431063
8,4,1,1,92,5.232328
8,4,1,1,93,7.375253
8,4,1,1,94,4.171236
8,4,1,1,95,10.625518
8,4,1,1,96,7.06123
8,4,1,1,97,5.469112
8,4,1,1,98,14.181748
8,4,1,1,99,7.941428
8,4,1,1,100,14.137569
8,4,1,1,101,19.025
8,4,1,1,102,4.443177
8,4,1,1,103,4.374553
8,4,1,1,104,3.970866
8,4,1,1,105,11.431553
8,4,1,1,106,5.835524
8,4,1,1,107,6.759948
8,4,1,1,108,4.669354
8,4,1,1,109,6.635121
8,4,1,1,110,7.634721
8,4,1,1,111,10.857872
8,4,1,1,112,5.019588
8,4,1,1,113,4.335388
8,4,1,1,114,5.104606
8,4,1,1,115,8.106596
8,4,1,1,116,7.359378
8,4,1,1,117,6.751671
8,4,1,1,118,9.571864
8,4,1,1,119,6.175542
8,4,1,1,120,11.411732
8,4,1,1,121,8.914409
8,4,1,1,122,11.276142
8,4,1,1,123,7.407863
8,4,1,1,124,9.115591
8,4,1,1,125,14.65001
8,4,1,1,126,10.9156
8,4,1,1,127,13.135125
8,4,1,1,128,11.661165
8,4,1,1,129,14.843758
8,4,1,1,130,12.343035
8,4,1,1,131,7.413244
8,4,1,1,132,3.82076
8,4,1,1,133,6.300149
8,4,1,1,134,6.304206
8,4,1,1,135,15.350208
8,4,1,1,136,18.2625
8,4,1,1,137,7.869732
8,4,1,1,138,7.346136
8,4,1,1,139,5.635304
8,4,1,1,140,4.222321
8,4,1,1,141,4.612167
8,4,1,1,142,6.869467
8,4,1,1,143,12.88765
8,4,1,1,144,9.273907
8,4,1,1,145,7.133556
8,4,1,1,146,16.521886
8,4,1,1,147,19.30625
8,4,1,1,148,8.603566
8,4,1,1,149,8.274681
8,4,1,1,150,6.065302
8,4,1,1,151,4.783853
8,4,1,1,152,16.343752
8,4,1,1,153,18.96875
8,4,1,1,154,13.632619
8,4,1,1,155,11.071961
8,4,1,1,156,12.761031
8,4,1,1,157,11.106481
8,4,1,1,158,21.54375
8,4,1,1,159,21.7875
8,4,1,1,160,14.575272
8,4,1,1,161,14.625103
8,4,1,1,162,7.624535
8,4,1,1,163,4.941595
8,4,1,1,164,8.552026
8,4,1,1,165,6.28453
8,4,1,1,166,5.685123
8,4,1,1,167,4.438641
8,4,1,1,168,5.783945
8,4,1,1,169,7.200803
8,4,1,1,170,4.099331
8,4,1,1,171,5.239649
8,4,1,1,172,6.218002
8,4,1,1,173,10.159272
8,4,1,1,174,8.212864
8,4,1,1,175,6.696572
8,4,1,1,176,8.410577
8,4,1,1,177,10.585579
8,4,1,1,178,15.162548
8,4,1,1,179,13.906451
8,4,1,1,180,15.156263
8,4,1,1,181,9.835044
8,4,1,1,182,13.643897
